row	title
0	Jumanji
1	Grumpier Old Men
2	Waiting to Exhale
3	Father of the Bride Part II
4	Heat
5	Sabrina
6	Tom and Huck
7	Sudden Death
8	GoldenEye
9	The American President
10	Balto
11	Nixon
12	Cutthroat Island
13	Casino
14	Sense and Sensibility
15	Four Rooms
16	Ace Ventura: When Nature Calls
17	Money Train
18	Get Shorty
19	Copycat
20	Assassins
21	Powder
22	Leaving Las Vegas
23	Othello
24	Now and Then
25	The City of Lost Children
26	Shanghai Triad
27	Dangerous Minds
28	Twelve Monkeys
29	Babe
30	Carrington
31	It Takes Two
32	Clueless
33	Richard III
34	Dead Presidents
35	Mortal Kombat
36	To Die For
37	How To Make An American Quilt
38	Se7en
39	Pocahontas
40	The Usual Suspects
41	Guardian Angel
42	The Big Green
43	Georgia
44	Home for the Holidays
45	Eye for an Eye
46	Mr. Holland's Opus
47	Don't Be a Menace to South Central While Drinking Your Juice in the Hood
48	Two If by Sea
49	Bio-Dome
50	Lawnmower Man 2: Beyond Cyberspace
51	Two Bits
52	Friday
53	From Dusk Till Dawn
54	Fair Game
55	Kicking and Screaming
56	Les Miserables
57	Bed of Roses
58	Big Bully
59	Screamers
60	The Crossing Guard
61	The Juror
62	Things to Do in Denver When You're Dead
63	Antonia's Line
64	Angels and Insects
65	Dunston Checks In
66	Black Sheep
67	Mary Reilly
68	Vampire in Brooklyn
69	Beautiful Girls
70	Broken Arrow
71	A Midwinter's Tale
72	La Haine
73	Shopping
74	Heidi Fleiss: Hollywood Madam
75	City Hall
76	Bottle Rocket
77	Unforgettable
78	Happy Gilmore
79	The Bridges of Madison County
80	Muppet Treasure Island
81	Catwalk
82	Braveheart
83	Taxi Driver
84	Rumble in the Bronx
85	Before and After
86	Margaret's Museum
87	Anne Frank Remembered
88	If Lucy Fell
89	Steal Big Steal Little
90	Race the Sun
91	Boomerang
92	Chungking Express
93	The Star Maker
94	Flirting with Disaster
95	The Neverending Story III: Escape from Fantasia
96	Jupiter's Wife
97	Pie in the Sky
98	Frankie Starlight
99	Jade
100	Down Periscope
101	Man of the Year
102	Up Close & Personal
103	The Birdcage
104	The Brothers McMullen
105	Bad Boys
106	The Amazing Panda Adventure
107	The Basketball Diaries
108	Amateur
109	Apollo 13
110	Rob Roy
111	The Addiction
112	Batman Forever
113	Belle de Jour
114	Beyond Rangoon
115	Blue in the Face
116	Canadian Bacon
117	Casper
118	Clockers
119	Congo
120	Crimson Tide
121	Crumb
122	Desperado
123	Devil in a Blue Dress
124	Die Hard: With a Vengeance
125	The Doom Generation
126	Feast of July
127	First Knight
128	Free Willy 2 - The Adventure Home
129	Hackers
130	Jeffrey
131	Johnny Mnemonic
132	Judge Dredd
133	Jury Duty
134	Living in Oblivion
135	Lord of Illusions
136	Mad Love
137	Mallrats
138	Mighty Morphin Power Rangers: The Movie
139	Moonlight and Valentino
140	Mute Witness
141	Nadja
142	The Net
143	Nine Months
144	Party Girl
145	The Prophecy
146	Reckless
147	Safe
148	The Scarlet Letter
149	The Show
150	Showgirls
151	Smoke
152	Something to Talk About
153	Species
154	Strange Days
155	The Umbrellas of Cherbourg
156	Three Wishes
157	Total Eclipse
158	To Wong Foo, Thanks for Everything! Julie Newmar
159	Under Siege 2: Dark Territory
160	Unstrung Heroes
161	A Walk in the Clouds
162	Waterworld
163	White Man's Burden
164	Wild Bill
165	The Browning Version
166	Bushwhacked
167	Burnt by the Sun
168	Before the Rain
169	Before Sunrise
170	Billy Madison
171	The Babysitter
172	Boys on the Side
173	The Cure
174	Castle Freak
175	Clerks
176	Don Juan DeMarco
177	Disclosure
178	Drop Zone
179	Destiny Turns on the Radio
180	Death and the Maiden
181	Dolores Claiborne
182	Dumb and Dumber
183	Exotica
184	Exit to Eden
185	Ed Wood
186	Far from Home: The Adventures of Yellow Dog
187	A Goofy Movie
188	Hideaway
189	Fluke
190	Farinelli
191	Gordy
192	Gumby: The Movie
193	The Glass Shield
194	Hoop Dreams
195	Heavenly Creatures
196	Heavyweights
197	The Hunted
198	I.Q.
199	Interview with the Vampire
200	Jefferson in Paris
201	Junior
202	Just Cause
203	A Kid in King Arthur's Court
204	Star Wars
205	Little Women
206	A Little Princess
207	Like Water for Chocolate
208	Legends of the Fall
209	Major Payne
210	Little Odessa
211	Mi Vida Loca
212	Losing Isaiah
213	Mary Shelley's Frankenstein
214	Man of the House
215	Milk Money
216	Miracle on 34th Street
217	Miami Rhapsody
218	My Family
219	Murder in the First
220	Nobody's Fool
221	Nell
222	New Jersey Drive
223	New York Cop
224	Beyond Bedlam
225	Nemesis 2 - Nebula
226	Nina Takes a Lover
227	Natural Born Killers
228	Only You
229	Once Were Warriors
230	Poison Ivy II: Lily
231	Outbreak
232	Leon: The Professional
233	The Perez Family
234	Pulp Fiction
235	Panther
236	Priest
237	Quiz Show
238	The Quick and the Dead
239	Prêt-à-Porter
240	Relative Fear
241	The Swan Princess
242	The Secret of Roan Inish
243	The Specialist
244	Stargate
245	The Santa Clause
246	The Shawshank Redemption
247	Shallow Grave
248	Suture
249	Swimming with Sharks
250	The Sum of Us
251	Senior Trip
252	Tank Girl
253	Tales from the Crypt: Demon Knight
254	Star Trek: Generations
255	Tales from the Hood
256	Tom & Viv
257	Village of the Damned
258	Tommy Boy
259	The Underneath
260	The Walking Dead
261	What's Eating Gilbert Grape
262	Virtuosity
263	While You Were Sleeping
264	Double Happiness
265	Muriel's Wedding
266	The Baby-Sitters Club
267	Ace Ventura: Pet Detective
268	The Adventures of Priscilla, Queen of the Desert
269	Bitter Moon
270	Clear and Present Danger
271	The Client
272	The Crow
273	Cobb
274	The Flintstones
275	Forrest Gump
276	Four Weddings and a Funeral
277	I Like It Like That
278	I Love Trouble
279	It Could Happen to You
280	The Lion King
281	Little Buddha
282	New Nightmare
283	The Mask
284	Maverick
285	Mrs. Parker and the Vicious Circle
286	The Naked Gun 33⅓: The Final Insult
287	The Paper
288	Reality Bites
289	Red Rock West
290	Ri¢hie Ri¢h
291	Safe Passage
292	The River Wild
293	Speed
294	Speechless
295	Timecop
296	True Lies
297	When a Man Loves a Woman
298	Wolf
299	Wyatt Earp
300	Bad Company
301	A Man of No Importance
302	S.F.W.
303	A Low Down Dirty Shame
304	Boys Life: Three Stories of Love, Lust, and Liberation
305	Faster, Pussycat! Kill! Kill!
306	Jason's Lyric
307	The Secret Adventures of Tom Thumb
308	Street Fighter
309	Fall Time
310	The Fear
311	Homage
312	Highlander: The Final Dimension
313	In the Mouth of Madness
314	8 Seconds
315	Above the Rim
316	Addams Family Values
317	Martin Lawrence: You So Crazy
318	The Age of Innocence
319	Airheads
320	Another Stakeout
321	Bad Girls
322	Barcelona
323	Being Human
324	The Beverly Hillbillies
325	Blink
326	Blown Away
327	Blue Sky
328	Body Snatchers
329	Boxing Helena
330	A Bronx Tale
331	Cabin Boy
332	Calendar Girl
333	Carlito's Way
334	Cliffhanger
335	Coneheads
336	Color of Night
337	Dangerous Game
338	Dave
339	Dazed and Confused
340	Demolition Man
341	Fatal Instinct
342	The Favor
343	Fearless
344	Fear of a Black Hat
345	With Honors
346	Flesh and Bone
347	For Love or Money
348	The Firm
349	Free Willy
350	The Fugitive
351	Geronimo: An American Legend
352	Getting Even with Dad
353	Go Fish
354	Guilty as Sin
355	Hard Target
356	Heaven & Earth
357	Hot Shots! Part Deux
358	Live Nude Girls
359	House Party 3
360	The Hudsucker Proxy
361	In the Army Now
362	In the Line of Fire
363	In the Name of the Father
364	The Inkwell
365	What's Love Got to Do with It
366	Judgment Night
367	Jurassic Park
368	Kalifornia
369	King of the Hill
370	Lassie
371	Last Action Hero
372	Life With Mikey
373	Made in America
374	Malice
375	The Man without a Face
376	Manhattan Murder Mystery
377	Menace II Society
378	Executive Decision
379	Much Ado About Nothing
380	Mr. Jones
381	Mr. Wonderful
382	Mrs. Doubtfire
383	The Next Karate Kid
384	The New Age
385	No Escape
386	North
387	Philadelphia
388	Poetic Justice
389	The Program
390	The Puppet Masters
391	Radioland Murders
392	The Ref
393	The Remains of the Day
394	Renaissance Man
395	Rising Sun
396	The Road to Wellville
397	RoboCop 3
398	Robin Hood: Men in Tights
399	Romeo Is Bleeding
400	Romper Stomper
401	Ruby in Paradise
402	Rudy
403	Schindler's List
404	The Scout
405	Searching for Bobby Fischer
406	The Secret Garden
407	Serial Mom
408	The Shadow
409	Short Cuts
410	A Simple Twist of Fate
411	Sirens
412	Six Degrees of Separation
413	Sleepless in Seattle
414	Sliver
415	Blade Runner
416	Son in Law
417	So I Married an Axe Murderer
418	Striking Distance
419	Super Mario Bros.
420	Surviving the Game
421	Terminal Velocity
422	Thirty Two Short Films About Glenn Gould
423	Threesome
424	The Nightmare Before Christmas
425	The Three Musketeers
426	Tombstone
427	Trial by Jury
428	True Romance
429	The War Room
430	The Pagemaster
431	Killer
432	Welcome to the Dollhouse
433	Germinal
434	Chasers
435	Little Big League
436	The Slingshot
437	Ciao, Professore!
438	Spanking the Monkey
439	The Little Rascals
440	Andre
441	Princess Caraboo
442	Home Alone
443	Ghost
444	Aladdin
445	Terminator 2: Judgment Day
446	Dances with Wolves
447	Tough and Deadly
448	Batman
449	The Silence of the Lambs
450	Snow White and the Seven Dwarfs
451	Beauty and the Beast
452	Pinocchio
453	Pretty Woman
454	The Wild Bunch
455	Love and a .45
456	The Wooden Man's Bride
457	One Fine Day
458	Candyman: Farewell to the Flesh
459	Fargo
460	Homeward Bound II: Lost in San Francisco
461	Heavy Metal
462	Hellraiser: Bloodline
463	The Pallbearer
464	Jane Eyre
465	Bread and Chocolate
466	The Aristocats
467	The Flower of My Secret
468	Ed
469	Scream of Stone
470	A Modern Affair
471	A Thin Line Between Love and Hate
472	The Last Supper
473	Primal Fear
474	Carried Away
475	All Dogs Go to Heaven 2
476	Land and Freedom
477	Denise Calls Up
478	Theodore Rex
479	A Family Thing
480	Sgt. Bilko
481	Jack & Sarah
482	Girl 6
483	Diabolique
484	Little Indian, Big City
485	Courage Under Fire
486	Mission: Impossible
487	Moll Flanders
488	301, 302
489	DragonHeart
490	Eddie
491	Yankee Zulu
492	Billy's Holiday
493	Purple Noon
494	August
495	James and the Giant Peach
496	Fear
497	Kids in the Hall: Brain Candy
498	Faithful
499	All Things Fair
500	Bloodsport II
501	Mystery Science Theater 3000: The Movie
502	Space Jam
503	Barbarella
504	Hostile Intentions
505	They Bite
506	The Run of the Country
507	Alphaville
508	Operation Dumbo Drop
509	The Promise
510	Mrs. Winterbourne
511	Solo
512	True Crime
513	Feeling Minnesota
514	Delta of Venus
515	Angus
516	Boys
517	The Quest
518	Sunset Park
519	Mulholland Falls
520	The Truth About Cats & Dogs
521	Oliver & Company
522	Celtic Pride
523	Flipper
524	Captives
525	Of Love and Shadows
526	Dead Man
527	Switchblade Sisters
528	The Visitors
529	Multiplicity
530	The Haunted World of Edward D. Wood, Jr.
531	The Craft
532	The Great White Hype
533	Last Dance
534	Cold Comfort Farm
535	Heaven's Prisoners
536	Original Gangstas
537	The Rock
538	Getting Away with Murder
539	Cemetery Man
540	Twister
541	Barb Wire
542	Ghost in the Shell
543	Thinner
544	Spy Hard
545	A Close Shave
